,tweets,id,date,source,likes,retweets
0,"30 hours after birth, a newborn in Wuhan, the #nCoV epicenter, was diagnosed with the virus, leading medical experts to conjecture the #coronavirus may vertically be transmitted between mother and baby. https://t.co/jccL31pGCo",1225207448920719361,2020-02-05 23:59:53,Twitter for Android,0,40
1,"@carolemacneil I bought a few N95 masks and have a stockpile of hand sanitizer. I have been avoiding touching my face until I wash my hands and have been using gloves to hold onto railings on TTC/GO Transit. 

What other preventative measures can I take to avoid 2019-nCoV and other viruses?",1225207446882353152,2020-02-05 23:59:53,Twitter for iPhone,1,0
2,My goodness. Stop hacking into my email accounts. I think someone is trying to get into my IG accounts. You will find nothing there but makeup inquiries! Crack ncov instead! Save the world!,1225207421536104448,2020-02-05 23:59:47,Twitter for Android,0,101
3,Two hundred three co-passengers of the two Chinese nationals who first tested positive for the 2019-nCoV have been contacted by the DOH. | @KAguilarINQ https://t.co/WpINuB2d7i,1225207418654621700,2020-02-05 23:59:46,Twitter Web App,0,10
4,Many wonder how long #viruses persist on inanimate surfaces. The attached table is a summary of studies with different viruses. Your mileage may vary. From https://t.co/Q6pfKqHEpz 2019-nCoV may be similar to SARS-CoV in this property https://t.co/giIDUAWxb2,1225207407510523905,2020-02-05 23:59:43,Twitter for Android,0,634
5,"Let's begin at the beginning, when trying to explain why some people find 2019-nCoV or #coronavirus to be particularly concerning.  For reference materials, please use the CDC and/or WHO pages as good starting points:
https://t.co/WtDVfm883W
I prefer CDC:
https://t.co/9p8Hw2WeEV",1225207400606519296,2020-02-05 23:59:42,Twitter for Android,1,0
6,Trending on PubMed: Potential of large 'first generation' human-to-human transmission of 2019-nCoV. https://t.co/6ZtOlGHuYc,1225207359334572032,2020-02-05 23:59:32,dlvr.it,0,0
7,"China marks biggest nCoV jump; WHO unveils response plan

https://t.co/mGvSfKtyAf",1225207355446571010,2020-02-05 23:59:31,App for healthybuilds,0,0
8,"China marks biggest nCoV jump; WHO unveils response plan

https://t.co/Y3IqYynFMR",1225207354599313413,2020-02-05 23:59:31,App for Sanders Filters,0,0
9,"China marks biggest nCoV jump; WHO unveils response plan

https://t.co/c6SsJhj7Nh",1225207353303339014,2020-02-05 23:59:30,nanosafe1,0,0
10,"""Ano ang sintomas ng NCOV?""

""Acute respiratory distress at nakamamatay""

This is not a proper public health teaching. 

Symptoms are different from complications. 

Please see into this. I saw this ad along the LCD screens of mrt taft station.
@dotrmrt3 @DOTrPH",1225207340107882496,2020-02-05 23:59:27,Twitter for Android,28,2
11,"CT Chest 2019 novel caronavirus #2019nC0V #2019_nCov 
Thank you @DanielaMartinMD ! https://t.co/DpcKjaZ1tL",1225207317391708160,2020-02-05 23:59:22,Twitter for iPhone,1,0
12,Hong Kong’s medical professionals were labeled as “deserter” by ProBeijing camp(eg “Bald Lau Sir”of HK Police) for organizing a strike to demand border control on Mainland China to prevent the spread of 2019 nCov. See how far away HK Police stood compared to so called “deserters” https://t.co/XZk1WZhZ05,1225207252908302336,2020-02-05 23:59:07,Twitter for Android,0,1276
13,Chinese Woman Is 3rd Confirmed nCoV Case In Phl; First Infected Pinoy Is Seafarer Now In Japan https://t.co/ZfAkK1GHfT | via @onenewsph https://t.co/vpknaZxys5,1225207249783554049,2020-02-05 23:59:06,Twitter for iPhone,0,10
14,"Now they have two reasons to postpone BACS, first the nCov and now this thing? Hayys https://t.co/TAa09HTqfe",1225207201171566592,2020-02-05 23:58:54,Twitter Web App,7,1
15,"@rapplerdotcom And still this traitor is saying no need to be ""extra scared"" of the ""coronaveerus"". Please make Malacanang AND Davao quarantine sites since the #nCoV doesn't scare you.",1225207149887778816,2020-02-05 23:58:42,Twitter for Android,1,0
16,"This puts the national total at more than 27,300. #coronavirus #nCoV  https://t.co/UjgVwG6duA",1225207137548161024,2020-02-05 23:58:39,Twitter for iPhone,0,18
17,"Frontline healthcare workers risk LIFE and LIMB EVERYDAY and keyboard know-it-alls presume they aren't doing enough to protect everyone. This poor guy worked 10 days straight. Our frontline guys are exhausted. Pls. continue praying for their safety. #nCoV
https://t.co/KzLW5OqM4H",1225207098805342208,2020-02-05 23:58:30,Twitter for iPhone,0,405
